"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור אגברי - ייצוג של מישור","תרגול","מפורסם","0","","0","","no","0","","","no","69f58cdccfeb753fc5661a3a"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור אלגברי - מצב הדדי בין וקטור ומישור","לימוד","מפורסם","0","","0","","no","0","","","no","69f59066c9a5ed5e7ed81f09"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור אלגברי - מצב הדדי בין וקטורים","לימוד","מפורסם","0","","0","","no","0","","","no","69f59022281ca1d9409c6326"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור אלגברי - מרחקים","לימוד","מפורסם","0","","0","","no","0","","","no","69f5907def7ee56187b46197"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי","תרגול","מפורסם","0","","0","","no","0","","","no","69f58cad9ac80f7ba1d98349"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי  - ייחידות ההצגה","לימוד","מפורסם","0","","0","","no","0","","","no","69f59005c9a5ed5e7ed81e62"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי  - מכפלה סקלרית","לימוד","מפורסם","0","","0","","no","0","","","no","69f58fdbcfeb753fc5661bb2"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי  - קומבינציה לינארית","לימוד","מפורסם","0","","0","","no","0","","","no","69f58fecef7ee56187b4614a"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי בסיס","תרגול","מפורסם","0","","0","","no","0","","","no","69f58c649ac80f7ba1d982e2"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור גיאומטרי בסיס","לימוד","מפורסם","0","","0","","no","0","","","no","69f58fcd3fdab2477f03beca"
"כיתה ז׳","מפורסם","כיתה ז - גיאומטריה","זוויות","לימוד","מפורסם, לא פעיל","0","","1","כיתה ז - יחידה 9 - זוויות צמודות וקודקודיות.pdf","no","0","","","yes","69f3a8286c72b2a1c163fab6"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","זוויות","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4729c2076368473c1b111"
"כיתה ח' - בסיס","מפורסם","גיאומטריה","זוויות וקטעים","תרגול","מפורסם","0","","0","","yes","10366","","","yes","69f45c3035cf126ea04f1e4f"
"","","","זווית - בסיס","לימוד","מפורסם","3","תרגיל 1; תרגיל 2; תרגיל 3","0","","no","0","","","yes","6a438ea0c93aa5b585571b87"
"","","","זווית - בסיס","לימוד","מפורסם","3","תרגיל 1; תרגיל 2; תרגיל 3","0","","no","0","","","yes","6a688d6a90e1ad0cfe0c85c2"
"","","","זווית - בסיס","לימוד","מפורסם","3","תרגיל 1; תרגיל 2; תרגיל 3","0","","no","0","","","yes","62d5bcc0ced9655a8954c7e3"
"כיתה ח' - בסיס","מפורסם","אלגברה","חוק הפילוג","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4782d14e313deba72eccd"
"כיתה ט - מתקדם","מפורסם","אלגברה","חוקי חזקות","תרגול","מפורסם","0","","1","כיתה ט' - יחידה 1 - חוקי חזקות - אלגברה --ZP0SEx0XcaGNsp6ll3uHAv5yvSPVqs.pdf","no","0","","","yes","69c597e349cc801b4f990806"
"כיתה ט - בסיס","מפורסם","אלגברה","חוקי חזקות","תרגול","מפורסם","0","","0","","no","0","","","no","69c5983bc3590e7def202966"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","חוקי חזקות","תרגול","מפורסם","0","","0","","no","0","","","no","69f58bb585f66461b5dff589"
"כיתה ט - מתקדם","מפורסם","אלגברה","חוקי חזקות - 1","לימוד","מפורסם","0","","0","","no","0","","","no","69ecab463540f0153c52747f"
"כיתה ט - מתקדם","מפורסם","אלגברה","חוקי חזקות - 2","לימוד","מפורסם","0","","0","","no","0","","","no","69ecab4edd4d44f6eb0198a7"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","חוקיות","תרגול","מפורסם","0","","1","הכנה-כיתה-ז23-חוקיות-aCY2Of6cpwODg7x5MF14Z8rNVmTuDX.pdf","no","0","","","yes","6a05cd3be2ffc5bd1dcdc328"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","חוקיות","תרגול","מפורסם","0","","1","הכנה-כיתה-ז23-חוקיות-aCY2Of6cpwODg7x5MF14Z8rNVmTuDX.pdf","no","0","","","yes","6a688d6a90e1ad0cfe0c85c4"
